Problem	Run	Gene	Fitness	Operators	NGenerations	PopSize	Generation	Accuracy	Size	Depth
data/p4.txt	1	g14	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	7	1.000000	8	5
data/p4.txt	1	g14	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	10	1.000000	3	2
data/p4.txt	1	g15	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.885246	7	5
data/p4.txt	1	g15	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	22	0.901639	6	4
data/p4.txt	1	g15	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	35	0.918033	6	4
data/p4.txt	1	g16	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.885246	8	5
data/p4.txt	1	g16	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	4	0.983607	7	5
data/p4.txt	1	g17	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.868852	7	4
data/p4.txt	1	g17	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.934426	1	1
data/p4.txt	1	g18	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.688525	6	4
data/p4.txt	1	g18	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	4	0.704918	5	3
data/p4.txt	1	g18	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	8	0.754098	3	2
data/p4.txt	1	g19	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.918033	5	3
data/p4.txt	1	g19	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.950820	4	3
data/p4.txt	1	g19	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	5	0.967213	2	2
data/p4.txt	1	g20	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.885246	8	4
data/p4.txt	1	g20	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.950820	10	4
data/p4.txt	1	g20	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	40	0.967213	6	3
data/p4.txt	1	g21	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.934426	7	4
data/p4.txt	1	g21	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.950820	8	4
data/p4.txt	1	g22	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.983607	9	4
data/p4.txt	1	g23	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.934426	6	4
data/p4.txt	1	g23	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	4	0.950820	8	5
data/p4.txt	1	g24	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.901639	3	3
data/p4.txt	1	g24	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.918033	5	3
data/p4.txt	1	g24	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	5	0.934426	7	4
data/p4.txt	1	g24	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	6	0.950820	5	3
data/p4.txt	1	g25	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.803279	7	5
data/p4.txt	1	g26	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.918033	7	5
data/p4.txt	1	g26	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.967213	1	1
data/p4.txt	1	g27	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.934426	8	4
data/p4.txt	1	g27	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	5	0.950820	6	4
data/p4.txt	1	g27	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	6	0.967213	4	3
data/p4.txt	1	g28	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.622951	10	4
data/p4.txt	1	g28	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.655738	11	4
data/p4.txt	1	g28	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	18	0.704918	3	2
data/p4.txt	1	g29	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	1.000000	4	3
data/p4.txt	1	g29	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	4	1.000000	2	2
data/p4.txt	1	g30	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	1.000000	2	2
data/p4.txt	1	g31	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	1.000000	2	2
data/p4.txt	1	g32	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	1.000000	3	2
data/p4.txt	1	g32	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	1.000000	1	1
data/p4.txt	1	g33	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.967213	9	4
data/p4.txt	1	g33	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	6	0.983607	10	4
data/p4.txt	1	g33	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	40	1.000000	8	4
data/p4.txt	1	g34	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.983607	2	2
data/p4.txt	1	g34	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	20	1.000000	4	3
data/p4.txt	1	g35	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.934426	2	2
data/p4.txt	1	g35	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.950820	4	3
data/p4.txt	1	g35	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.967213	3	2
data/p4.txt	1	g36	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.803279	4	3
data/p4.txt	1	g36	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.819672	3	3
data/p4.txt	1	g36	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	9	0.836066	7	4
data/p4.txt	1	g36	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	12	0.918033	6	4
data/p4.txt	1	g36	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	24	0.967213	5	3
data/p4.txt	1	g37	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.836066	9	4
data/p4.txt	1	g37	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.852459	9	4
data/p4.txt	1	g37	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	7	0.868852	3	2
data/p4.txt	1	g38	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.967213	7	6
data/p4.txt	1	g39	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.786885	9	4
data/p4.txt	1	g39	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	8	0.803279	5	4
data/p4.txt	1	g39	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	47	0.819672	3	2
data/p4.txt	1	g40	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.852459	2	2
data/p4.txt	1	g40	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.868852	7	5
data/p4.txt	1	g41	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.983607	8	5
data/p4.txt	1	g41	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	4	1.000000	1	1
data/p4.txt	1	g42	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.950820	4	3
data/p4.txt	1	g43	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.967213	8	4
data/p4.txt	1	g43	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	1.000000	3	3
data/p4.txt	1	g43	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	5	1.000000	1	1
data/p4.txt	1	g44	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.983607	2	2
data/p4.txt	1	g45	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.967213	3	2
data/p4.txt	1	g46	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.983607	9	4
data/p4.txt	1	g46	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	17	1.000000	3	2
data/p4.txt	1	g47	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	1.000000	5	3
data/p4.txt	1	g47	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	1.000000	3	2
data/p4.txt	1	g48	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.934426	3	2
data/p4.txt	1	g48	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	37	0.950820	3	2
data/p4.txt	1	g49	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.803279	3	2
data/p4.txt	1	g49	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.852459	7	4
data/p4.txt	1	g49	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	16	0.868852	7	4
data/p4.txt	1	g49	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	47	0.918033	4	3
